"90495","1001","ACC","231","Wilf","Accounting Principles I","3","Wax; Laurie Faye","0","30","30","0","10","10","M||W}1500}1615}FURST}F210","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90580","1001","ACC","232","Wilf","Accounting Principles I","3","Lefkowitz; Miriam","0","30","30","0","10","10","M||W}1500}1615}BELFHL}B203","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"93188","1001","ACC","233","Wilf","Accounting Principles I","3","Staff","0","20","20","0","0","0","M||W}1430}1545}FURST}","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90519","1001","ACC","241","Wilf","Accounting Principles I","3","Crawford; Constance J.","0","25","25","0","10","10","M||W}1630}1745}FURST}F212","HONR","Honors Course","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90505","1001","ACC","242","Wilf","Accounting Principles I","3","Resnik; Jim","0","30","30","0","10","10","M||W}1630}1745}FURST}F210","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"93222","1001","ACC","243","Wilf","Accounting Principles I","3","Lefkowitz; Miriam","0","30","30","0","10","10","M||W}1630}1745}BELFHL}","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90482","1001","ACC","311","Wilf","Accounting Principles I","3","Mayer; Steve","0","30","30","0","10","10","T||R}1330}1445}FURST}F314","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite. Section information text: Not Open to MYP Students"
"90481","1001","ACC","331","Wilf","Accounting Principles I","3","Cohen; Michael H.","0","25","25","0","10","10","T||R}1500}1615}FURST}F314","HONR","Honors Course","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90552","1001","ACC","361","Wilf","Accounting Principles I","3","Cohen; Michael H.","0","30","30","0","10","10","T||R}1845}2000}BELFHL}B218","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90465","1001","ACC","A","Beren","Accounting Principles I","3","Hyman; Cody Alyssa","0","30","30","0","5","5","M||W}0900}1015}LEX215}","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90441","1001","ACC","B","Beren","Accounting Principles I","3","Rotenstein; Aliza","0","30","30","0","15","15","M||W}1025}1140}LEX215}LX313","SYBC","Sy Syms-UG Business Core","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90433","1001","ACC","D1","Beren","Accounting Principles I","3","Rotenstein; Aliza","0","25","25","0","15","15","M||W}1325}1440}LEX215}LX210","HONR","Honors Course","","","IDS1010","","Introduction to financial accounting: the accounting cycle; preparation of financial statements; accounting for cash and temporary investments; receivables; inventories; and long-lived assets. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): IDS 1010 or equivalent may be taken as a prerequisite or corequisite."
"90497","1002","ACC","341","Wilf","Accounting Principles II","3","Mayer; Steve","0","30","30","0","10","10","T||R}1630}1745}FURST}F314","SYBC","Sy Syms-UG Business Core","","","ACC1001;;IDS1015|IDS1020;;IDS1010","","Accounting for current and long-term liabilities; stockholders' equity; statement of cash flows; introduction to management accounting; cost behavior; and break-even analysis. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): ACC 1001; and IDS 1015 or IDS 1020 may be taken as prerequisite or corequisite; and IDS 1010 or equivalent."
"90517","1002","ACC","361","Wilf","Accounting Principles II","3","Mayer; Steve","0","30","30","0","10","10","T||R}1845}2000}FURST}","SYBC","Sy Syms-UG Business Core","","","ACC1001;;IDS1015|IDS1020;;IDS1010","","Accounting for current and long-term liabilities; stockholders' equity; statement of cash flows; introduction to management accounting; cost behavior; and break-even analysis. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): ACC 1001; and IDS 1015 or IDS 1020 may be taken as prerequisite or corequisite; and IDS 1010 or equivalent."
"90431","1002","ACC","D1","Beren","Accounting Principles II","3","Huang; Henry","0","30","30","0","5","5","M}1325}1440}LEX215}::W}1325}1440}TBA}","SYBC","Sy Syms-UG Business Core","","","ACC1001;;IDS1015|IDS1020;;IDS1010","","Accounting for current and long-term liabilities; stockholders' equity; statement of cash flows; introduction to management accounting; cost behavior; and break-even analysis. International financial reporting standards are studied throughout the course as are ethical considerations for new topics as they are introduced. Prerequisite(s): ACC 1001; and IDS 1015 or IDS 1020 may be taken as prerequisite or corequisite; and IDS 1010 or equivalent."
